Seed,Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,SOS,NC_WP
13,Delaware-2022,-1.0951,-0.7315,-0.7657,-0.598,0.2707,-0.047,-0.1272,0.2159,-1.1383,-0.2904
14,UT Arlington-2022,-1.049,-0.1946,0.8137,-0.9657,-0.0793,0.6583,0.3957,-1.7105,-0.7923,-0.764
15,Illinois State-2022,-1.3087,-1.9667,-1.8861,-1.0116,-1.6141,-0.3994,-0.9986,-2.2289,-0.4868,-0.6057
15,Fairfield-2022,-1.1808,-1.6043,0.4627,-0.6592,0.6082,-1.457,0.9932,-0.3609,-1.4545,-1.3618
15,Mercer-2022,-1.1828,-0.5977,0.1793,-0.981,0.4682,-1.457,-1.9944,0.0161,-1.4914,-1.8452
15,Hawaii-2022,-1.4458,-1.4835,-0.0502,-1.5785,-0.6121,-1.457,-1.9944,-0.801,-0.7947,-1.2603
16,Montana State-2022,-1.5262,-1.8058,0.5032,-1.5938,-1.0572,-1.457,-1.9944,-1.6737,-0.8874,-1.4137
14,American-2022,-1.7028,-0.0337,-2.399,-1.9155,-0.0667,-1.457,-0.7139,-0.4589,-1.4652,-0.6835
16,Albany (NY)-2022,-1.7397,-0.517,-3.4384,-1.8542,-0.3081,-1.457,-1.2475,-1.0423,-2.0205,-1.3494
16,Longwood-2022,-1.805,-2.0987,0.5167,-2.0687,-0.9621,-1.457,-1.9944,-1.505,-1.7732,-1.7561
16,Mount St. Mary's-2022,-2.3554,-2.8124,-0.3742,-2.8195,-1.8481,-1.457,-1.9944,-2.7642,-2.1001,-1.8565
16,Howard-2022,-2.3501,-1.2201,-1.7106,-3.0186,-0.6121,-1.457,-1.9944,-1.1149,-2.345,-2.0266
16,Incarnate Word-2022,-2.5577,-2.3427,-2.8445,-3.8766,-3.1342,-1.457,-1.9944,-4.9516,-2.3771,-2.0866
