Seed,Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,SOS,NC_WP
12,Portland-2023,-0.5158,-1.4131,0.8006,-0.2906,-0.0483,-0.7496,-2.1528,0.3234,-0.1238,-0.5587
13,East Carolina-2023,-0.7827,-0.2471,-1.9442,-0.4665,-0.2703,0.63,-1.5035,-0.7935,-0.5758,-0.0261
13,Sacramento State-2023,-0.7236,0.3451,-1.04,-0.4026,0.3294,-1.3016,-1.3412,-0.5703,-0.9865,-0.8981
14,James Madison-2023,-1.0847,0.3451,-0.9646,-0.6424,0.3938,-1.3016,1.0935,-1.3946,-1.2607,-0.9078
13,Saint Louis-2023,-1.2088,-2.249,0.284,-1.186,-2.3732,-0.7496,-0.8542,-2.3558,-0.4002,-0.6007
14,Southern Utah-2023,-1.2416,-2.4583,0.9513,-1.1541,-0.2703,-1.3016,-0.5296,-0.7935,-0.5953,-1.1993
14,Hawaii-2023,-1.2726,-2.4583,0.9406,-1.3779,-1.7725,-1.3016,-2.1528,-1.5746,-0.669,-1.3974
15,Gardner-Webb-2023,-1.4669,-0.3675,-0.5233,-1.218,1.2674,-1.3016,-1.0708,0.4462,-2.0183,-2.0776
16,Chattanooga-2023,-1.5067,-1.3327,-0.857,-1.6657,-1.1718,-1.3016,-0.5296,-2.231,-1.3138,-0.9572
14,Iona-2023,-1.5921,-0.8901,-1.2014,-1.4099,0.6302,-1.3016,1.0935,-0.7935,-1.9262,-1.301
15,Vermont-2023,-1.5816,-0.51,-0.9323,-1.314,0.5725,-1.3016,-0.5296,-0.6191,-1.8937,-1.326
15,Holy Cross-2023,-1.6167,-0.2109,-1.5459,-1.5058,-0.0483,-1.3016,-0.5296,-1.0335,-1.7745,-1.549
15,Southeastern Louisiana-2023,-1.6249,-1.7396,0.5638,-1.5698,-0.451,-1.3016,-2.1528,-0.861,-1.5328,-2.1578
16,Norfolk State-2023,-1.6442,0.1922,-1.4921,-1.6337,0.6302,-1.3016,-2.1528,-0.5234,-2.0617,-1.814
16,Tennessee Tech-2023,-1.6729,-1.1516,-0.2435,-1.7297,-0.3578,-1.3016,-0.5296,-1.6618,-1.6856,-1.6546
16,Monmouth-2023,-1.9854,-1.622,-2.4823,-2.5451,-1.9359,-1.3016,-2.1528,-3.2935,-1.6162,-0.9078
16,Southern-2023,-2.2212,-2.9809,0.6392,-3.1368,-1.7725,-1.3016,-2.1528,-2.6061,-1.3886,-2.4845
16,Sacred Heart-2023,-2.2657,-2.6483,-2.1271,-3.1527,-1.5985,-1.3016,-2.1528,-3.1631,-2.1972,-1.8434
