Seed,Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
0.375,Wichita State-2021,1.0097,0.1252,1.6355,1.0369,1.3628,0.6519,1.196,1.68,1.0975
0.3125,UC Santa Barbara-2021,0.9351,0.6242,1.4948,1.2562,1.8165,0.8704,0.6773,1.4398,-0.4436
0.25,North Texas-2021,0.833,-0.0886,0.2489,1.1864,0.7812,1.4269,0.6773,0.7543,0.3859
0.1875,Abilene Christian-2021,0.6718,0.6242,0.6809,0.997,1.8471,0.4879,-0.8788,1.464,-1.5801
0.25,Ohio-2021,0.5832,0.4245,1.0628,0.8574,1.0066,0.4879,1.196,0.7543,-0.2408
0.125,Grand Canyon-2021,0.6664,0.1252,-0.0928,0.6581,1.2402,-0.66,-0.8788,0.543,-1.0131
0.3125,Winthrop-2021,0.4898,1.622,1.4446,1.0867,2.4197,1.6359,-0.8788,1.4921,-1.1533
0.25,Liberty-2021,0.5932,0.4994,-0.6655,0.8873,1.683,-0.66,-0.8788,1.0908,-0.7345
0.1875,Eastern Washington-2021,0.436,-1.3717,1.5752,0.6481,1.0066,-0.66,-0.8788,0.7707,-1.2736
0.25,UNC Greensboro-2021,0.4475,0.4994,0.3092,0.8275,1.1594,-0.66,1.7145,0.502,0.5124
0.125,Oral Roberts-2021,0.2547,-1.3717,1.6757,0.4886,0.5745,-0.0038,2.2333,0.48,-1.4252
0.1875,Morehead State-2021,0.0015,-0.7729,0.8317,0.4786,1.3887,-0.66,0.8995,1.4398,-0.4848
0.0625,Drexel-2021,0.0243,0.7667,-0.8062,0.2693,0.6617,-0.66,1.196,0.0601,-0.3531
0.125,Iona-2021,-0.02,0.1252,0.9522,0.3291,1.0615,-0.66,2.2333,0.5279,-0.3834
0.125,Cleveland State-2021,-0.3257,-1.3717,1.7059,0.04,1.1955,-0.66,0.1585,1.0627,-0.8174
0.0625,Mount St. Mary's-2021,-0.4493,-0.6232,1.6255,-0.0597,0.1984,-0.66,2.2333,-0.2397,-1.1291
0.0625,Appalachian State-2021,-0.5158,-0.1742,-0.6856,-0.4086,0.5299,0.8704,0.9885,-0.3529,-0.0926
0.0625,Texas Southern-2021,-0.4533,-0.5164,1.1834,-0.1594,0.8506,-0.66,-0.8788,0.816,-1.6631
0.0625,Norfolk State-2021,-0.4143,0.3389,1.0025,-0.0896,1.0066,-0.66,0.6773,0.543,-1.3039
